id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
27342334-1,27342334,10034266443,2115087321,29.202707312472963,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6586893 40.3463728, -74.6583675 40.3464659)"
27342334-2,27342334,2115087321,3833720817,19.01944542634684,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6583675 40.3464659, -74.6581516 40.3465119)"
27342334-3,27342334,3833720817,3833720820,21.151860192456542,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6581516 40.3465119, -74.6579132 40.3465675)"
27342334-4,27342334,3833720820,300153639,54.33563972404834,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6579132 40.3465675, -74.6573032 40.3467162)"
40775660-0,40775660,495578235,4272435867,19.493043382648146,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(-74.6616314 40.3467297, -74.6615646 40.3467587, -74.6614341 40.3468194)"
40775665-0,40775665,1539807967,11124620738,2.8587688583335704,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(-74.6562881 40.3474215, -74.6562569 40.3474312)"
40775665-1,40775665,11124620738,495578267,45.4777109202125,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(-74.6562569 40.3474312, -74.6561863 40.3474531, -74.6557474 40.3475576)"
40775665-2,40775665,495578267,5710182623,4.197979397652314,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(-74.6557474 40.3475576, -74.6556998 40.3475679)"
40775665-3,40775665,5710182623,1539807975,28.305629209412174,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(-74.6556998 40.3475679, -74.6556183 40.3475855, -74.6555137 40.3476185, -74.6553963 40.3476704)"
61598710-0,61598710,1778379259,10031580461,6.694070314923711,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(-74.6538680 40.3462701, -74.6539074 40.3463222)"
61598710-1,61598710,10031580461,299815197,17.593781678703472,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(-74.6539074 40.3463222, -74.6540108 40.3464592)"
61598710-2,61598710,299815197,104017835,31.97448501951272,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(-74.6540108 40.3464592, -74.6541989 40.3467081)"
61598710-3,61598710,104017835,7207367822,61.25531432780213,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(-74.6541989 40.3467081, -74.6545591 40.3471850)"
61598710-4,61598710,7207367822,8707984863,28.977338522508248,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(-74.6545591 40.3471850, -74.6547295 40.3474106)"
61598710-5,61598710,8707984863,8942181828,43.05142542177464,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(-74.6547295 40.3474106, -74.6549826 40.3477458)"
61598710-6,61598710,8942181828,104017838,9.341721566427914,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(-74.6549826 40.3477458, -74.6550376 40.3478185)"
61598710-7,61598710,104017838,8942181829,9.120809966773832,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(-74.6550376 40.3478185, -74.6550926 40.3478889)"
61598710-8,61598710,8942181829,495578239,70.67792005656653,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(-74.6550926 40.3478889, -74.6555191 40.3484343)"
61598710-9,61598710,495578239,8948919378,115.46545570604232,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(-74.6555191 40.3484343, -74.6562159 40.3493253)"
61598710-10,61598710,8948919378,104004796,6.942879140643854,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(-74.6562159 40.3493253, -74.6562573 40.3493791)"
61598710-11,61598710,104004796,8948919379,6.74912751756204,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(-74.6562573 40.3493791, -74.6562997 40.3494304)"
61598710-12,61598710,8948919379,3833718052,69.33607473770557,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(-74.6562997 40.3494304, -74.6567228 40.3499633)"
81130025-0,81130025,945429204,2111677259,15.285344296102188,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(-74.6608826 40.3476534, -74.6608339 40.3477856)"
81130025-1,81130025,2111677259,3833047372,19.389827893486103,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(-74.6608339 40.3477856, -74.6607672 40.3479522)"
81130025-2,81130025,3833047372,3833047374,58.832313560576424,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(-74.6607672 40.3479522, -74.6601188 40.3481396)"
81130025-3,81130025,3833047374,104109641,2.949142279263767,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(-74.6601188 40.3481396, -74.6600863 40.3481490)"
81130025-4,81130025,104109641,945429203,65.89485116774992,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(-74.6600863 40.3481490, -74.6601147 40.3481058, -74.6606652 40.3477601)"
